loan_id,source,financial_institution,interest_rate,unpaid_principal_bal,Loan_term,origination_date,first_payment_date,loan_to_value,number_of_borrowers,debt_to_income_ratio,borrower_credit_score,loan_purpose,insurance_percent,co-borrower_credit_score,insurance_type,Occupation ,Borrower_State,EducationLevel,MaritalStatus,Age,Gender,EmploymentStatus,NumberOfDependents,Annual Income,current_month,total_on_time_payments,total_late_payments,avg_payment_delay,current_dpd,mx
8.11E+11,Y,Browning-Hart,3.75,192000,18,01/02/12,Apr-12,80,2,29,809,C86,0,812,0,Assistant Engineer,PA,Bachelor's,Married,51,Female,Employed,2,6620.689655,7,7,2,18.5,,0
7.22E+11,X,OTHER,4.25,308000,6,01/02/12,Apr-12,95,1,34,712,A23,30,0,0,Team Member,CO,PhD,Married,43,Male,Employed,1,9058.823529,24,15,10,14.2,,1
7.8E+11,Y,Edwards-Hoffman,4.5,80000,12,01/01/12,Mar-12,73,1,41,690,C86,0,0,0,OPERATIONS MGR,MS,High School,Married,18,Male,Employed,2,1951.219512,24,10,15,12.8,16,0
6.69E+11,X,OTHER,3.125,60000,36,01/02/12,Apr-12,33,1,18,814,C86,0,0,0,Quality Assurance,TX,PhD,Divorced,34,Female,Employed,1,3333.333333,0,1,1,5,0,0
3.94E+11,X,OTHER,3.375,195000,36,01/01/12,Mar-12,75,1,25,797,B12,0,0,0,Mechanic,MN,High School,Single,65,Female,Employed,1,7800,21,17,6,8.833333333333334,,0
3.73E+11,Y,"Swanson, Newton and Miller",3.5,171000,18,01/01/12,Mar-12,34,1,28,805,A23,0,0,0,mechanic,AZ,High School,Married,18,Female,Employed,0,6107.142857,5,5,2,11.5,,0
4.58E+11,X,OTHER,3.875,353000,30,01/02/12,Apr-12,76,1,25,806,A23,0,0,0,Lead person,NY,High School,Married,33,Female,Employed,1,14120,17,13,6,11.333333333333334,,0
4.66E+11,Y,Browning-Hart,3.875,131000,12,01/01/12,Mar-12,42,2,10,800,A23,0,800,0,Certification Specialist,CO,PhD,Married,22,Other,Unemployed,0,13100,19,15,6,10.833333333333334,8,1
7.55E+11,X,Browning-Hart,4,560000,6,01/02/12,Apr-12,70,2,40,781,C86,0,803,0,Production,AL,Master's,Divorced,26,Male,Employed,0,14000,17,11,8,12.75,,0
1.07E+11,Y,Browning-Hart,4.5,353000,6,01/02/12,Apr-12,73,2,23,788,A23,0,781,0,Quality Controls,FL,Master's,Married,52,Female,Employed,1,15347.82609,7,8,1,17,,1
4.04E+11,Y,Browning-Hart,3.875,374000,12,01/02/12,Apr-12,90,2,32,787,C86,25,780,0,Accountant,ME,Bachelor's,Single,43,Female,Self-Employed,2,11687.5,10,7,5,11.2,,1
6.36E+11,Z,OTHER,3.875,212000,12,01/03/12,May-12,80,2,18,816,A23,0,816,0,Supervisor ,OK,Bachelor's,Divorced,49,Female,Self-Employed,2,11777.77778,0,1,1,6,0,0
6.94E+11,Y,"Swanson, Newton and Miller",3.875,220000,24,01/01/12,Mar-12,42,2,17,750,C86,0,797,0,Assistant Principal,FL,PhD,Married,19,Male,Employed,1,12941.17647,17,13,6,14.5,,1
1.88E+11,Y,Browning-Hart,3.75,217000,36,01/01/12,Mar-12,62,2,12,805,A23,0,799,0,Project Engineer,NY,High School,Married,27,Other,Unemployed,1,18083.33333,19,16,5,14.2,,1
8.44E+11,X,Browning-Hart,4,62000,6,01/02/12,Apr-12,54,1,30,684,B12,0,0,0,Operations and Service Engineer,NY,High School,Divorced,20,Female,Self-Employed,3,2066.666667,3,5,0,0,,1
4.3E+11,Y,"Swanson, Newton and Miller",3.25,223000,18,01/01/12,Mar-12,80,2,28,752,B12,0,747,0,Security Specialist,CA,PhD,Single,39,Other,Unemployed,1,7964.285714,8,4,6,13,,0
9.25E+11,Y,Edwards-Hoffman,3,350000,24,01/02/12,Apr-12,48,2,48,798,A23,0,719,0,pilot,PA,PhD,Married,35,Female,Employed,1,7291.666667,24,19,6,10.333333333333334,,1
5.88E+11,Y,Browning-Hart,3.875,398000,36,01/01/12,Mar-12,80,2,49,753,C86,0,729,0,Social work,TX,Bachelor's,Married,36,Male,Employed,0,8122.44898,17,13,6,8.666666666666666,5,0
9.08E+11,X,OTHER,3,65000,18,01/02/12,Apr-12,33,1,19,815,B12,0,0,0,Application Development Engineer,NH,Master's,Single,18,Male,Employed,3,3421.052632,23,17,8,15.125,9,1
3.65E+11,X,Browning-Hart,3.875,193000,18,01/02/12,Apr-12,95,2,34,786,C86,30,807,0,Assistant Engineer,CA,High School,Single,35,Female,Employed,0,5676.470588,14,10,6,16.333333333333332,,1
5.8E+11,X,Anderson-Taylor,4.125,174000,36,01/02/12,Apr-12,35,2,33,812,A23,0,816,0,Custodial worker,OH,Doctorate,Single,28,Other,Self-Employed,0,5272.727273,24,18,7,17.285714285714285,,1
3.81E+11,Z,"Sanchez, Hays and Wilkerson",3.75,304000,24,01/02/12,Apr-12,77,1,38,757,A23,0,0,0,pilot,MN,High School,Married,45,Male,Employed,0,8000,3,1,4,13.75,19,0
6.18E+11,X,OTHER,4.5,104000,6,01/01/12,Mar-12,80,1,48,749,C86,0,0,0,Sales Support Specialist,CA,PhD,Married,28,Other,Self-Employed,3,2166.666667,19,14,7,14.714285714285714,,0
2.36E+11,X,OTHER,4.5,164000,24,01/03/12,May-12,75,2,30,802,C86,0,810,0,FINANCE Engineer,MO,Bachelor's,Married,42,Female,Self-Employed,0,5466.666667,3,0,5,10.4,8,0
2.31E+11,X,OTHER,4.5,176000,24,01/01/12,Mar-12,80,1,31,753,A23,0,0,0,pilot,MA,Master's,Divorced,58,Other,Unemployed,0,5677.419355,20,17,5,8.8,8,0
7.69E+11,Y,Browning-Hart,4,106000,30,01/01/12,Mar-12,80,1,33,780,C86,0,0,0,Radiation Protection Supervisor,VA,Bachelor's,Single,38,Female,Self-Employed,3,3212.121212,1,2,1,19,19,1
1.35E+11,Z,Browning-Hart,3.5,123000,18,01/02/12,Apr-12,80,1,40,740,C86,0,0,0,Program Suervisor,CA,High School,Married,18,Male,Employed,0,3075,17,11,8,12.875,8,1
5.89E+11,Z,OTHER,4.125,380000,6,01/02/12,Apr-12,95,1,36,701,C86,30,0,0,CAD Technician,FL,Bachelor's,Single,37,Female,Self-Employed,3,10555.55556,5,6,1,6,,1
5.26E+11,X,OTHER,4,402000,30,01/03/12,May-12,80,2,33,804,C86,0,799,0,Truck Driver,FL,High School,Single,41,Female,Self-Employed,0,12181.81818,0,1,1,11,0,0
