Store,DayOfWeek,Date,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
1,1,2013-01-07,1,0,0,0,c,a,1270,9,2008,0,,,
1,2,2013-01-08,1,0,0,0,c,a,1270,9,2008,0,,,
1,3,2013-01-09,1,0,0,0,c,a,1270,9,2008,0,,,
2,1,2013-01-07,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct"
2,2,2013-01-08,1,1,0,0,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct"
3,1,2013-01-07,1,0,0,1,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct"
3,2,2013-01-08,1,0,0,1,a,a,14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct"
4,1,2013-01-07,1,1,0,0,c,c,620,9,2009,0,,,
4,2,2013-01-08,1,1,0,0,c,c,620,9,2009,0,,,
5,1,2013-01-07,1,0,0,0,a,a,29910,4,2015,0,,,
